,index,college_name,NIRF_RANK,fee,salary,overall_rating,placements_rating,infrastructure_rating,faculty_rating,campus_rating,value_rating,No_of_reviews
126,6,Dhirubhai Ambani Institute of Information and Communication Technology,134, ₹ 5.55 Lakh, ₹ 13.50 Lakh ,4.4,4.6,4.2,4.3,4.6,4.4,116
127,7,"NMIMS University, Mumbai",135, ₹ 4.50 Lakh , ₹ 5.00 Lakh,4.1,3.9,4.2,4.3,4.1,3.8,790
128,8,NIT Puducherry - National Institute of Technology,136,, ₹ 6.00 Lakh ,3.4,3.5,3.3,3.5,3.1,3.8,32
129,9,PES College of Engineering,137, ₹ 1.75 Lakh, ₹ 4.00 Lakh ,3.8,3.4,4.0,3.8,4.0,4.0,129
130,10,Jaypee University of Information Technology,138, ₹ 10.40 Lakh, ₹ 4.00 Lakh ,3.7,3.3,4.3,3.6,3.8,3.4,166
131,11,"Chandigarh Group of Colleges (CGC), Landran",139, ₹ 3.86 Lakh, ₹ 4.20 Lakh ,4.3,4.3,4.2,4.1,4.4,4.2,1266
132,12,Anurag University,140, ₹ 5.00 Lakh, ₹ 3.75 Lakh ,4.1,3.9,4.4,4.1,4.2,4.0,329
133,13,Velagapudi Ramakrishna Siddhartha Engineering College,141, ₹ 2.65 Lakh, ₹ 4.00 Lakh ,4.3,4.2,4.2,4.2,4.4,4.2,499
134,14,Vishwakarma Institute of Technology,142, ₹ 6.26 Lakh, ₹ 4.50 Lakh ,3.9,4.1,3.4,4.2,4.0,3.9,313
135,15,"J. C. Bose University of Science and Technology, YMCA",143, ₹ 2.45 Lakh, ₹ 4.50 Lakh ,3.7,3.7,3.2,3.7,3.6,4.1,589
136,16,Noida Institute of Engineering and Technology (NIET),145, ₹ 5.12 Lakh, ₹ 4.52 Lakh ,4.0,4.2,3.7,4.1,3.9,4.1,751
137,17,Shri Ramdeobaba College of Engineering and Management,146, ₹ 5.57 Lakh, ₹ 4.60 Lakh ,4.0,4.1,3.9,4.1,4.2,4.0,353
138,18,Galgotias University,147, ₹ 5.96 Lakh, ₹ 3.65 Lakh ,3.9,3.9,3.9,4.0,4.1,3.8,1362
139,19,Gokaraju Rangaraju Institute of Engineering and Technology,148, ₹ 4.88 Lakh, ₹ 4.02 Lakh ,4.4,4.4,4.5,4.3,4.4,4.3,638
140,20,MSU - The Maharaja Sayajirao University of Baroda,149, ₹ 3.73 Lakh , ₹ 1.42 Lakh,4.1,3.8,3.9,4.2,4.3,4.4,525
141,21,National Institute of Foundry and Forge Technology,150,, ₹ 5.05 Lakh ,4.2,4.3,4.2,3.9,3.9,4.7,80
142,22,Pondicherry Engineering College - PEC,150, ₹ 2.26 Lakh, ₹ 5.00 Lakh ,4.0,3.9,3.8,4.1,4.1,4.0,119
143,23,Hindustan Institute of Technology and Science,152, ₹ 9.30 Lakh, ₹ 4.50 Lakh ,3.6,3.1,3.9,3.7,3.9,3.5,253
144,24,"Amity University, Gwalior",153, ₹ 7.26 Lakh, ₹ 4.00 Lakh ,4.3,3.9,4.7,4.3,4.4,4.1,218
145,25,R.M.K. Engineering College,154, ₹ 2.00 Lakh, ₹ 5.00 Lakh ,4.1,4.1,4.3,4.1,3.8,4.0,186
146,26,Mahindra University,154, ₹ 18.00 Lakh, ₹ 6.50 Lakh ,4.3,3.9,4.8,4.4,4.6,3.9,25
147,27,"Saveetha Institute of Medical and Technical Sciences, Poonamallee",156, ₹ 5.00 Lakh,,4.0,4.0,4.3,4.0,4.0,3.8,4
148,28,Sri Sai Ram Engineering College,157, ₹ 2.00 Lakh, ₹ 4.20 Lakh ,3.8,3.8,3.9,4.0,3.6,3.6,104
149,29,"Sri Jayachamarajendra College of Engineering (SJCE Mysore), JSS STU",158, ₹ 3.61 Lakh, ₹ 6.00 Lakh ,4.2,4.1,4.1,3.9,4.6,4.3,134
150,30,"VELS Institute of Science, Technology and Advanced Studies (VISTAS)",159, ₹ 4.98 Lakh, ₹ 3.15 Lakh ,3.8,3.4,3.7,3.9,4.0,3.7,96
151,31,Government College of Technology (GCT),160, ₹ 2.00 Lakh, ₹ 6.00 Lakh ,4.2,4.0,3.7,4.2,4.3,4.8,93
152,32,"Silicon Institute of Technology, Bhubaneswar",161, ₹ 4.23 Lakh,,4.0,3.9,3.7,4.3,4.0,3.9,121
153,33,Vardhaman College of Engineering,162, ₹ 5.00 Lakh, ₹ 5.00 Lakh ,4.1,4.0,4.4,4.0,4.0,4.0,315
154,34,"G.H. Raisoni College of Engineering, Nagpur",163, ₹ 5.60 Lakh, ₹ 3.80 Lakh ,4.0,3.8,4.0,4.1,4.1,3.8,327
155,35,Sree Vidyanikethan Engineering College,165, ₹ 2.80 Lakh, ₹ 4.50 Lakh ,4.2,4.1,4.4,4.1,4.3,4.1,573
156,36,"Chaitanya Bharathi Institute of Technology, Hyderabad",166, ₹ 5.60 Lakh, ₹ 5.00 Lakh ,4.1,4.2,3.9,4.1,4.4,3.9,488
157,37,Sardar Patel Institute of Technology,167, ₹ 5.91 Lakh, ₹ 8.50 Lakh ,4.2,4.5,3.9,3.9,4.3,4.2,100
158,38,Rabindranath Tagore University,167, ₹ 1.80 Lakh, ₹ 4.80 Lakh ,3.6,3.1,3.9,4.0,3.7,3.5,24
159,39,National Engineering College,169, ₹ 2.00 Lakh, ₹ 3.60 Lakh ,4.2,4.2,4.3,4.0,4.1,4.2,22
160,0,CVR College of Engineering,170, ₹ 4.60 Lakh, ₹ 4.50 Lakh ,4.2,4.3,4.1,4.2,4.2,4.2,389
161,1,NIT Arunachal Pradesh - National Institute of Technology,171, ₹ 5.00 Lakh, ₹ 6.50 Lakh ,3.6,3.3,3.6,3.8,3.5,3.6,24
162,2,Army Institute of Technology,172, ₹ 6.76 Lakh, ₹ 7.60 Lakh ,4.1,4.4,3.9,3.8,4.3,4.0,250
163,3,NIT Sikkim - National Institute of Technology,173, ₹ 5.00 Lakh, ₹ 7.11 Lakh ,3.8,3.8,3.5,3.9,3.9,3.9,38
164,4,Sona College of Technology,174, ₹ 2.00 Lakh, ₹ 4.50 Lakh ,4.1,3.6,4.4,4.1,4.4,3.9,73
165,5,NMAM Institute of Technology,175, ₹ 3.34 Lakh, ₹ 5.25 Lakh ,3.9,3.5,3.9,4.0,4.1,3.8,29
166,6,Chennai Institute of Technology,175, ₹ 2.00 Lakh, ₹ 3.60 Lakh ,4.4,4.6,4.1,4.4,4.4,4.4,122
167,7,Indira Gandhi Delhi Technical University for Women (IGDTUW),177, ₹ 4.90 Lakh, ₹ 15.00 Lakh ,4.0,4.4,3.4,4.0,4.0,4.4,151
168,8,Sant Longowal Institute of Engineering and Technology,178, ₹ 3.50 Lakh , ₹ 8.19 Lakh,4.0,3.3,4.4,3.8,4.2,4.4,217
169,9,DIT University,179,, ₹ 4.50 Lakh ,3.8,3.5,4.2,3.8,4.1,3.6,446
170,10,"CMR Institute of Technology, Bangalore",180, ₹ 3.34 Lakh, ₹ 5.00 Lakh ,4.1,4.0,4.1,4.2,4.1,3.9,313
171,11,SRM Easwari Engineering College,181, ₹ 2.00 Lakh, ₹ 5.00 Lakh ,4.2,4.2,4.1,4.3,4.4,4.0,154
172,12,Rajiv Gandhi Institute of Petroleum Technology,182, ₹ 9.61 Lakh, ₹ 10.00 Lakh ,4.3,4.1,4.6,4.3,4.1,4.3,71
173,13,NITTE Meenakshi Institute of Technology,183, ₹ 13.00 Lakh, ₹ 6.00 Lakh ,3.9,3.7,3.8,3.9,4.1,3.8,262
174,14,IIITDM Kancheepuram - Indian Institute of Information Technology Design & Manufacturing,184, ₹ 5.28 Lakh, ₹ 8.89 Lakh ,4.2,3.5,4.6,4.3,4.3,4.2,42
175,15,"Yeshwantrao Chavan College of Engineering, Nagar Yuwak Shikshan Sanstha",185, ₹ 6.55 Lakh, ₹ 4.50 Lakh ,3.8,3.6,4.0,3.8,4.1,3.6,305
